table,migration_creation,nb_colonnes,nb_fk,unique,check,nb_index,rls,utilisee_backend,pret_externe
notification_outbox,033_v46_architecture_alignment.sql,9,1,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,Oui — channel prêt pour push/sms/email (device_tokens à ajouter si push branché)
notifications,001_initial.sql,8,1,Non,Non,2,N/A (pas de RLS — voir note architecture),Oui,
order_items,001_initial.sql,7,3,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
orders,001_initial.sql,18,4,Non,Oui,7,N/A (pas de RLS — voir note architecture),Oui,
partner_instructions,033_v46_architecture_alignment.sql,17,3,Oui,Oui,3,N/A (pas de RLS — voir note architecture),Oui,"Oui — instructions HOLD/RELEASE/REFUND/PAYOUT vers PSP/payout (idempotency_key, provider_reference)"
partner_payment_events,001_initial.sql,15,2,Oui,Oui,4,N/A (pas de RLS — voir note architecture),Oui,"Oui — webhooks PSP (provider, event_id UNIQUE, idempotence)"
partner_reconciliation_items,019_v22_partner_reconciliation.sql,12,2,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
partner_reconciliation_runs,019_v22_partner_reconciliation.sql,9,1,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
partners,033_v46_architecture_alignment.sql,7,0,Oui,Oui,0,N/A (pas de RLS — voir note architecture),Oui,"Oui — registre générique de fournisseurs externes (code, statut)"
payment_methods,032_v46_frontend_backend_unification.sql,9,1,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,Partiel — opérateur mobile money déclaratif ; pas encore de provider_reference PSP
payout_requests,003_production_hardening.sql,17,1,Oui,Oui,6,N/A (pas de RLS — voir note architecture),Oui,
platform_fee_rules,004_finance_v4.sql,6,0,Oui,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
product_media,001_initial.sql,7,1,Non,Non,1,N/A (pas de RLS — voir note architecture),Oui,
product_variants,033_v46_architecture_alignment.sql,9,1,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
products,001_initial.sql,12,2,Oui,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
reviews,001_initial.sql,7,3,Oui,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
settlements,033_v46_architecture_alignment.sql,12,4,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,Oui — mouvements financiers finaux référençant un settlement externe
shipment_events,001_initial.sql,8,2,Non,Non,1,N/A (pas de RLS — voir note architecture),Oui,
shipment_proof_events,007_delivery_proofs.sql,9,3,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
shipment_proofs,007_delivery_proofs.sql,16,2,Oui,Oui,5,N/A (pas de RLS — voir note architecture),Oui,
shipments,001_initial.sql,15,2,Oui,Oui,3,N/A (pas de RLS — voir note architecture),Oui,
social_comments,032_v46_frontend_backend_unification.sql,5,2,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
social_follows,032_v46_frontend_backend_unification.sql,3,2,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
social_likes,032_v46_frontend_backend_unification.sql,3,2,Non,Non,0,N/A (pas de RLS — voir note architecture),Oui,
social_posts,032_v46_frontend_backend_unification.sql,7,2,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
social_shares,032_v46_frontend_backend_unification.sql,4,2,Non,Non,1,N/A (pas de RLS — voir note architecture),Oui,
transporters,001_initial.sql,7,1,Non,Oui,0,N/A (pas de RLS — voir note architecture),Oui,
user_addresses,001_initial.sql,13,1,Non,Non,1,N/A (pas de RLS — voir note architecture),Oui,
user_roles,032_v46_frontend_backend_unification.sql,5,1,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
users,001_initial.sql,15,0,Oui,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
vendor_videos,032_v46_frontend_backend_unification.sql,11,1,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
vendors,001_initial.sql,11,1,Oui,Non,0,N/A (pas de RLS — voir note architecture),Oui,
wallets,001_initial.sql,8,1,Oui,Oui,0,N/A (pas de RLS — voir note architecture),Oui,
wishlists,001_initial.sql,3,2,Non,Non,0,N/A (pas de RLS — voir note architecture),Oui,
withdrawal_fee_rules,005_withdrawal_fees.sql,8,0,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
